Datetime,Open,High,Low,Close,Volume
2012-04-02 10:00:00,160535.0,160990.0,160520.0,160870.0,22179.0
2012-04-02 10:05:00,160850.0,161080.0,160750.0,160905.0,16202.0
2012-04-02 10:10:00,160905.0,160945.0,160555.0,160700.0,13279.0
2012-04-02 10:15:00,160700.0,160860.0,160605.0,160790.0,7390.0
2012-04-02 10:20:00,160795.0,160885.0,160675.0,160785.0,4519.0
2012-04-02 10:25:00,160790.0,160985.0,160705.0,160775.0,7404.0
2012-04-02 10:30:00,160785.0,160950.0,160315.0,160375.0,16363.0
2012-04-02 10:35:00,160370.0,160520.0,160300.0,160465.0,6308.0
2012-04-02 10:40:00,160460.0,161175.0,160435.0,161100.0,20230.0
2012-04-02 10:45:00,161095.0,161190.0,160870.0,160905.0,10262.0
2012-04-02 10:50:00,160905.0,161045.0,160805.0,160855.0,6122.0
2012-04-02 10:55:00,160855.0,161080.0,160750.0,161025.0,6589.0
2012-04-02 11:00:00,161025.0,161270.0,160645.0,160925.0,26024.0
2012-04-02 11:05:00,160935.0,161450.0,160810.0,161375.0,23407.0
2012-04-02 11:10:00,161355.0,161455.0,161115.0,161190.0,12406.0
2012-04-02 11:15:00,161195.0,161245.0,160795.0,160900.0,14064.0
2012-04-02 11:20:00,160900.0,160960.0,160405.0,160520.0,18512.0
2012-04-02 11:25:00,160520.0,160685.0,160345.0,160570.0,16221.0
2012-04-02 11:30:00,160580.0,160870.0,160545.0,160740.0,13585.0
2012-04-02 11:35:00,160720.0,161135.0,160645.0,160970.0,16815.0
2012-04-02 11:40:00,160975.0,161090.0,160765.0,160830.0,10415.0
2012-04-02 11:45:00,160820.0,161000.0,160605.0,160980.0,12303.0
2012-04-02 11:50:00,160980.0,161110.0,160510.0,160945.0,18038.0
2012-04-02 11:55:00,160960.0,161190.0,160720.0,160760.0,12400.0
2012-04-02 12:00:00,160775.0,161345.0,160755.0,161270.0,19097.0
2012-04-02 12:05:00,161270.0,161550.0,161250.0,161425.0,17441.0
2012-04-02 12:10:00,161425.0,161455.0,161055.0,161085.0,10209.0
2012-04-02 12:15:00,161075.0,161335.0,161050.0,161320.0,7458.0
2012-04-02 12:20:00,161320.0,161420.0,160910.0,161175.0,13239.0
2012-04-02 12:25:00,161180.0,161260.0,160835.0,160840.0,7260.0
2012-04-02 12:30:00,160850.0,160950.0,160560.0,160690.0,17229.0
2012-04-02 12:35:00,160710.0,160885.0,160000.0,160050.0,34974.0
2012-04-02 12:40:00,160045.0,160050.0,159385.0,159560.0,41213.0
2012-04-02 12:45:00,159565.0,159930.0,159430.0,159870.0,20807.0
2012-04-02 12:50:00,159870.0,159930.0,159700.0,159785.0,9911.0
2012-04-02 12:55:00,159795.0,159920.0,159650.0,159820.0,12293.0
2012-04-02 13:00:00,159810.0,159915.0,159585.0,159605.0,14308.0
2012-04-02 13:05:00,159610.0,159860.0,159455.0,159545.0,14084.0
2012-04-02 13:10:00,159550.0,159685.0,159300.0,159425.0,18159.0
2012-04-02 13:15:00,159430.0,159765.0,159355.0,159725.0,10411.0
2012-04-02 13:20:00,159725.0,159795.0,159245.0,159675.0,12138.0
2012-04-02 13:25:00,159685.0,159755.0,159505.0,159600.0,8305.0
2012-04-02 13:30:00,159575.0,159795.0,159455.0,159780.0,7583.0
2012-04-02 13:35:00,159795.0,159800.0,159485.0,159575.0,6459.0
2012-04-02 13:40:00,159560.0,159630.0,159430.0,159555.0,4200.0
2012-04-02 13:45:00,159570.0,159625.0,159465.0,159535.0,4598.0
2012-04-02 13:50:00,159525.0,160375.0,159525.0,160265.0,21962.0
2012-04-02 13:55:00,160270.0,160355.0,160120.0,160240.0,10908.0
2012-04-02 14:00:00,160220.0,160275.0,159880.0,160050.0,7108.0
2012-04-02 14:05:00,160055.0,160760.0,160000.0,160760.0,26773.0
2012-04-02 14:10:00,160755.0,160900.0,160540.0,160665.0,11577.0
2012-04-02 14:15:00,160665.0,160710.0,160515.0,160665.0,6698.0
2012-04-02 14:20:00,160645.0,160690.0,160530.0,160580.0,5027.0
2012-04-02 14:25:00,160580.0,160650.0,160000.0,160015.0,12864.0
2012-04-02 14:30:00,160010.0,160385.0,159920.0,160165.0,10127.0
2012-04-02 14:35:00,160190.0,160335.0,159950.0,160155.0,9913.0
2012-04-02 14:40:00,160180.0,160235.0,160000.0,160145.0,7138.0
2012-04-02 14:45:00,160150.0,160425.0,160000.0,160115.0,9853.0
2012-04-02 14:50:00,160090.0,160200.0,159570.0,159645.0,14247.0
2012-04-02 14:55:00,159625.0,159760.0,159380.0,159415.0,13749.0
2012-04-02 15:00:00,159400.0,159670.0,159275.0,159655.0,15506.0
2012-04-02 15:05:00,159660.0,159865.0,159500.0,159665.0,11044.0
2012-04-02 15:10:00,159675.0,159740.0,159520.0,159625.0,3621.0
2012-04-02 15:15:00,159620.0,159850.0,159440.0,159720.0,9799.0
2012-04-02 15:20:00,159710.0,159760.0,159345.0,159560.0,7877.0
2012-04-02 15:25:00,159560.0,159620.0,159070.0,159115.0,16216.0
2012-04-02 15:30:00,159115.0,159335.0,159100.0,159250.0,11521.0
2012-04-02 15:35:00,159240.0,159340.0,159055.0,159255.0,10129.0
2012-04-02 15:40:00,159285.0,159330.0,158780.0,158925.0,15460.0
2012-04-02 15:45:00,158920.0,158940.0,158415.0,158505.0,21090.0
2012-04-02 15:50:00,158525.0,158790.0,158250.0,158725.0,17704.0
2012-04-02 15:55:00,158725.0,158800.0,158565.0,158600.0,8025.0
2012-04-02 16:00:00,158605.0,158765.0,158150.0,158310.0,17422.0
2012-04-02 16:05:00,158345.0,158545.0,158135.0,158375.0,11444.0
2012-04-02 16:10:00,158370.0,158740.0,158260.0,158570.0,10704.0
2012-04-02 16:15:00,158565.0,158595.0,158225.0,158390.0,10628.0
2012-04-02 16:20:00,158385.0,158440.0,158255.0,158390.0,6929.0
2012-04-02 16:25:00,158390.0,158885.0,158360.0,158865.0,12678.0
2012-04-02 16:30:00,158890.0,158995.0,158725.0,158790.0,17272.0
2012-04-02 16:35:00,158785.0,158965.0,158700.0,158825.0,7516.0
2012-04-02 16:40:00,158825.0,158935.0,158500.0,158860.0,10463.0
2012-04-02 16:45:00,158855.0,159150.0,158805.0,159020.0,11546.0
2012-04-02 16:50:00,159010.0,159030.0,158665.0,158835.0,9340.0
2012-04-02 16:55:00,158820.0,158935.0,158580.0,158640.0,5898.0
2012-04-02 17:00:00,158635.0,158845.0,158240.0,158790.0,17656.0
2012-04-02 17:05:00,158790.0,158790.0,158510.0,158685.0,6639.0
2012-04-02 17:10:00,158685.0,158705.0,158370.0,158495.0,13249.0
2012-04-02 17:15:00,158490.0,158680.0,158415.0,158495.0,11107.0
2012-04-02 17:20:00,158495.0,158650.0,158385.0,158620.0,7057.0
2012-04-02 17:25:00,158640.0,158715.0,158450.0,158615.0,7555.0
2012-04-02 17:30:00,158610.0,158815.0,158345.0,158570.0,22444.0
2012-04-02 17:35:00,158575.0,158635.0,157760.0,157960.0,46504.0
2012-04-02 17:40:00,157970.0,158195.0,157855.0,158085.0,20428.0
2012-04-02 17:45:00,158070.0,158345.0,158045.0,158165.0,12055.0
2012-04-02 17:50:00,158150.0,158295.0,158060.0,158100.0,7649.0
2012-04-02 17:55:00,158105.0,158175.0,157390.0,157690.0,30451.0
2012-04-02 18:00:00,157695.0,158675.0,157515.0,158585.0,34712.0
2012-04-02 18:05:00,158585.0,158670.0,158365.0,158435.0,17524.0
2012-04-02 18:10:00,158435.0,159400.0,158415.0,159305.0,34549.0
2012-04-02 18:15:00,159310.0,160380.0,159250.0,160265.0,60824.0
2012-04-02 18:20:00,160260.0,160445.0,159940.0,160075.0,29202.0
2012-04-02 18:25:00,160090.0,160270.0,159920.0,160060.0,14677.0
2012-04-02 18:30:00,160065.0,160270.0,159915.0,159920.0,15248.0
2012-04-02 18:35:00,159925.0,160050.0,159805.0,159830.0,12483.0
2012-04-02 18:40:00,159830.0,159865.0,159550.0,159615.0,13950.0
2012-04-02 19:00:00,159785.0,160425.0,159785.0,159815.0,14612.0
2012-04-02 19:05:00,159820.0,160245.0,159815.0,160230.0,6232.0
2012-04-02 19:10:00,160230.0,160350.0,160160.0,160235.0,5495.0
2012-04-02 19:15:00,160210.0,160355.0,160155.0,160180.0,3981.0
2012-04-02 19:20:00,160180.0,160285.0,160105.0,160110.0,2975.0
